"","RESPONDENT_YRSED","PARTNER_YRSED","PPINCIMP","PPWORK","QFLAG","PAPGLB_STATUS","PPMARIT","PPGENDER","Q4","Q5","Q23","PPETHM","Q6B","RESPONDENT_RACE","PARTNER_RACE","RELATIONSHIP_QUALITY","diff_in_education","diff_in_race","diff_in_income"
"1555",10,10,"(02) $5,000 to $7,499","(6) not working - disabled","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(3) partner earned more","(4) hispanic","(2) black or african american","(6) Hispanic","(2) NH black","(5) excellent",0,1,1
"1556",12,16,"(12) $50,000 to $59,999","(5) not working - retired","(1) partnered","(2) no","(3) divorced","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-4,0,1
"1557",16,12,"(12) $50,000 to $59,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",4,0,1
"1558",9,7.5,"(10) $35,000 to $39,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1.5,0,1
"1559",16,13,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",3,0,1
"1560",16,16,"(07) $20,000 to $24,999","(5) not working - retired","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1561",13,12,"(14) $75,000 to $84,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"1562",16,13,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",3,0,1
"1563",12,12,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,0
"1565",16,17,"(19) $175,000 or more","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(5) 2+ races, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"1566",13,17,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(3) partner earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(5) excellent",-4,0,1
"1568",12,13,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"1569",12,14,"(10) $35,000 to $39,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-2,0,0
"1571",12,12,"(15) $85,000 to $99,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(5) 2+ races, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1573",14,13,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",1,0,0
"1574",9,12,"(02) $5,000 to $7,499","(4) not working - looking for work","(1) partnered","(2) no","(6) living with partner","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(4) asian or pacific islander","(1) NH white","(4) NH Asian Pac Islander","(4) good",-3,1,1
"1575",20,13,"(18) $150,000 to $174,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",7,0,1
"1577",14,13,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(2) black, non-hispanic","(5) other (please specify)","(2) NH black","(6) Hispanic","(3) fair",1,1,1
"1580",17,17,"(19) $175,000 or more","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1581",17,20,"(08) $25,000 to $29,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"1582",16,12,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",4,0,1
"1583",17,16,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(6) Hispanic","(5) excellent",1,1,0
"1584",14,16,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-2,0,1
"1586",16,13,"(04) $10,000 to $12,499","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",3,0,1
"1588",12,16,"(12) $50,000 to $59,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-4,0,1
"1589",12,13,"(11) $40,000 to $49,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"1590",16,16,"(17) $125,000 to $149,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(5) other (please specify)","(1) NH white","(6) Hispanic","(5) excellent",0,1,0
"1591",13,13,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1592",13,13,"(16) $100,000 to $124,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(5) excellent",0,1,1
"1593",12,12,"(14) $75,000 to $84,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(4) hispanic","(1) white","(6) Hispanic","(6) Hispanic","(4) good",0,0,1
"1594",16,17,"(12) $50,000 to $59,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(3) other, non-hispanic","(4) asian or pacific islander","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","(5) excellent",-1,0,1
"1595",14,12,"(18) $150,000 to $174,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",2,0,1
"1596",12,12,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1598",17,17,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(2) female","(2) female","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1599",17,16,"(19) $175,000 or more","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"1600",14,13,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"1601",16,13,"(11) $40,000 to $49,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",3,0,1
"1602",12,13,"(11) $40,000 to $49,999","(4) not working - looking for work","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(4) hispanic","(5) other (please specify)","(6) Hispanic","(6) Hispanic","(4) good",-1,0,1
"1603",16,5.5,"(12) $50,000 to $59,999","(2) working - self-employed","(1) partnered","(1) yes","(5) never married","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(4) hispanic","(1) white","(6) Hispanic","(6) Hispanic","(4) good",10.5,0,1
"1604",13,11,"(03) $7,500 to $9,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(1) i earned more","(4) hispanic","(1) white","(6) Hispanic","(6) Hispanic","(3) fair",2,0,1
"1605",13,12,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",1,0,1
"1606",11,13,"(09) $30,000 to $34,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(4) hispanic","(5) other (please specify)","(6) Hispanic","(6) Hispanic","(5) excellent",-2,0,1
"1607",13,12,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",1,0,1
"1608",16,16,"(13) $60,000 to $74,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(5) 2+ races, non-hispanic","(4) asian or pacific islander","(1) NH white","(4) NH Asian Pac Islander","(5) excellent",0,1,1
"1609",11,13,"(10) $35,000 to $39,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-2,0,1
"1611",12,13,"(07) $20,000 to $24,999","(6) not working - disabled","(1) partnered","(2) no","(6) living with partner","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
"1612",12,13,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"1613",12,12,"(08) $25,000 to $29,999","(6) not working - disabled","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1614",16,17,"(09) $30,000 to $34,999","(5) not working - retired","(1) partnered","(1) yes","(3) divorced","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(6) Hispanic","(4) good",-1,1,1
"1615",14,16,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-2,0,1
"1616",20,12,"(14) $75,000 to $84,999","(5) not working - retired","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(2) black or african american","(1) NH white","(2) NH black","(5) excellent",8,1,1
"1618",16,16,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(2) poor",0,0,1
"1621",12,13,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
"1623",16,12,"(04) $10,000 to $12,499","(6) not working - disabled","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(5) 2+ races, non-hispanic","(3) american indian, aleut, or eskimo","(1) NH white","(3) NH Amer Indian","(5) excellent",4,1,0
"1624",16,14,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",2,0,1
"1625",17,16,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,0
"1626",13,13,"(16) $100,000 to $124,999","(3) not working - on temporary layoff from a job","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(5) other (please specify)","(1) NH white","(5) NH Other","(5) excellent",0,1,1
"1627",12,12,"(10) $35,000 to $39,999","(6) not working - disabled","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1628",14,7.5,"(02) $5,000 to $7,499","(6) not working - disabled","(1) partnered","(2) no","(3) divorced","(2) female","(1) male",NA,"(3) partner earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(4) good",6.5,0,1
"1629",13,13,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(1) i earned more","(4) hispanic","(1) white","(6) Hispanic","(6) Hispanic","(4) good",0,0,1
"1630",16,17,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"1631",13,13,"(09) $30,000 to $34,999","(7) not working - other","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(5) other (please specify)","(1) NH white","(5) NH Other","(4) good",0,1,0
"1632",12,14,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(2) black, non-hispanic","(1) white","(2) NH black","(1) NH white","(5) excellent",-2,1,1
"1633",16,16,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1634",16,16,"(19) $175,000 or more","(1) working - as a paid employee","(1) partnered","(1) yes","(1) married","(1) male","(2) female","(2) no, we are an opposite-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1636",12,14,"(19) $175,000 or more","(2) working - self-employed","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-2,0,1
"1637",16,17,"(10) $35,000 to $39,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(4) hispanic","(3) american indian, aleut, or eskimo","(6) Hispanic","(6) Hispanic","(5) excellent",-1,0,1
"1639",12,12,"(07) $20,000 to $24,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(1) i earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(4) good",0,1,1
"1641",13,12,"(12) $50,000 to $59,999","(4) not working - looking for work","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"1643",13,20,"(17) $125,000 to $149,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(5) 2+ races, non-hispanic","(5) other (please specify)","(3) NH Amer Indian","(5) NH Other","(5) excellent",-7,1,0
"1644",17,17,"(05) $12,500 to $14,999","(5) not working - retired","(1) partnered","(2) no","(3) divorced","(2) female","(1) male",NA,"(3) partner earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(3) fair",0,0,1
"1645",16,12,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",4,0,1
"1646",13,14,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
"1648",17,17,"(19) $175,000 or more","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(5) excellent",0,0,1
"1650",12,13,"(08) $25,000 to $29,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(5) excellent",-1,0,1
"1651",12,11,"(08) $25,000 to $29,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"1652",12,13,"(07) $20,000 to $24,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(2) we earned about the same amount","(4) hispanic","(5) other (please specify)","(6) Hispanic","(6) Hispanic","(5) excellent",-1,0,0
"1653",16,16,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(5) 2+ races, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1654",13,16,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,0
"1655",12,12,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1656",16,16,"(07) $20,000 to $24,999","(4) not working - looking for work","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1657",13,14,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(4) good",-1,0,1
"1658",7.5,12,"(07) $20,000 to $24,999","(6) not working - disabled","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-4.5,0,1
"1659",11,13,"(10) $35,000 to $39,999","(4) not working - looking for work","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",-2,0,1
"1660",13,13,"(08) $25,000 to $29,999","(1) working - as a paid employee","(1) partnered","(1) yes","(3) divorced","(2) female","(1) male","(2) no, we are an opposite-sex couple","(1) i earned more","(4) hispanic","(5) other (please specify)","(6) Hispanic","(6) Hispanic","(5) excellent",0,0,1
"1661",10,11,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
"1662",13,10,"(11) $40,000 to $49,999","(6) not working - disabled","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",3,0,1
"1664",16,16,"(14) $75,000 to $84,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1667",13,9,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(1) male","(2) female","(2) no, we are an opposite-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(6) Hispanic","(5) excellent",4,1,1
"1670",17,14,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(1) i earned more","(2) black, non-hispanic","(1) white","(2) NH black","(1) NH white","(4) good",3,1,1
"1671",16,7.5,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(3) other, non-hispanic","(5) other (please specify)","(4) NH Asian Pac Islander","(6) Hispanic","(3) fair",8.5,1,1
"1673",12,13,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
"1674",13,16,"(17) $125,000 to $149,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",-3,0,1
"1676",13,13,"(12) $50,000 to $59,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1677",13,13,"(07) $20,000 to $24,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1678",14,14,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1679",12,12,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1681",14,12,"(02) $5,000 to $7,499","(6) not working - disabled","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",2,0,1
"1684",13,13,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1685",12,7.5,"(07) $20,000 to $24,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",4.5,0,1
"1687",12,12,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(5) excellent",0,1,1
"1688",14,12,"(12) $50,000 to $59,999","(4) not working - looking for work","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",2,0,1
"1689",9,12,"(09) $30,000 to $34,999","(7) not working - other","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"1690",7.5,12,"(10) $35,000 to $39,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-4.5,0,1
"1691",14,13,"(09) $30,000 to $34,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"1692",17,17,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(1) yes","(1) married","(2) female","(1) male","(2) no, we are an opposite-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1693",11,13,"(06) $15,000 to $19,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-2,0,1
"1694",12,14,"(07) $20,000 to $24,999","(4) not working - looking for work","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-2,0,1
"1696",13,13,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1698",17,12,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",5,0,1
"1700",16,16,"(11) $40,000 to $49,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1701",16,16,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1703",14,12,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",2,0,1
